algorithm,dataset_size,target,found,index,execution_time
Linear,100,83810,True,0,7.700058631598949e-08
Binary,100,83810,True,82,3.160000778734684e-07
Binary,100,45082,True,48,3.170000854879618e-07
Linear,100,45082,True,50,1.0459998156875372e-06
Linear,100,49735,True,99,1.7969997134059668e-06
Binary,100,49735,True,55,2.010003663599491e-07
Binary,100,99459,False,-1,3.2100011594593524e-07
Linear,100,99459,False,-1,1.5320000238716603e-06
Binary,1000,83810,True,822,6.740004755556583e-07
Linear,1000,83810,True,0,1.1499971151351929e-07
Linear,1000,96542,True,500,8.291000267490744e-06
Binary,1000,96542,True,959,5.230004899203777e-07
Binary,1000,62746,True,625,4.650000482797623e-07
Linear,1000,62746,True,999,2.045899978838861e-05
Linear,1000,99944,False,-1,1.7587000038474797e-05
Binary,1000,99944,False,-1,5.120004061609507e-07
Linear,10000,83810,True,0,1.1899974197149277e-07
Binary,10000,83810,True,8314,8.640007581561804e-07
Binary,10000,38506,True,3747,6.480002775788307e-07
Linear,10000,38506,True,5000,0.00010472499998286367
Linear,10000,27080,True,9999,0.0001954400003887713
Binary,10000,27080,True,2645,5.250005051493645e-07
Binary,10000,99998,False,-1,6.990006659179926e-07
Linear,10000,99998,False,-1,0.00017969700042158365
